slug,status,metrics_source,n_presencias,n_background,n_predictores,threshold_maxTSS,tss_at_maxTSS,threshold_p10,ens_auc_roc,ens_auc_pr,ens_tss,ens_f1,ens_brier_score,ens_calib_slope,ens_calib_intercept,ens_boyce_index,ens_or10,tss_ensemble_mean,tss_ensemble_std,auc_ensemble_mean,auc_ensemble_std,mess_mess_mean,mess_mess_min,mess_mess_pct_extrapolation,mess_n_mess_points,algo_sd_mean,algo_sd_median,binary_agreement_mean,binary_agreement_unanimous_pct,glm_tss,glm_auc_roc,gam_tss,gam_auc_roc,rf_tss,rf_auc_roc,gbm_tss,gbm_auc_roc,maxent_tss,maxent_auc_roc,glm_auc_pr,glm_f1,gam_auc_pr,gam_f1,rf_auc_pr,rf_f1,gbm_auc_pr,gbm_f1,maxent_auc_pr,maxent_f1,tss_glm_mean,tss_glm_std,auc_glm_mean,auc_glm_std,tss_gam_mean,tss_gam_std,auc_gam_mean,auc_gam_std,tss_rf_mean,tss_rf_std,auc_rf_mean,auc_rf_std,tss_gbm_mean,tss_gbm_std,auc_gbm_mean,auc_gbm_std,tss_maxent_mean,tss_maxent_std,auc_maxent_mean,auc_maxent_std,mess_mess_max,binary_agreement_max_possible
atriplex_semibaccata,ok,spatial_cv_oof,1054,19285,8,0.33794934446515346,0.7607844777159152,0.5120027789879938,0.9873912681986324,0.788108858598769,0.7607844777159152,0.7789473684210526,0.020074645939243064,0.9143273778868747,0.14821255805881617,0.7889425945983554,0.523719165085389,0.7096179224382266,0.10728923846820827,0.9823136325468189,0.009876871315267275,-146.48584842154733,-503.9835040223552,71.84719012734156,20339,0.032453625121501205,0.0016983370808065575,0.2321648065293279,1.1259157284035597,0.7809068408113786,0.9333144744344667,0.9065026303244208,0.9856915074442633,0.9094023582151085,0.9887761919357052,0.9074740276064761,0.9897219575143447,0.8665111217486234,0.976893486743096,0.33213193341335767,0.4262222222222222,0.7261608884657437,0.6267281105990783,0.7961166234427639,0.6612271540469974,0.8374276467559564,0.6673280423280423,0.6438684506622325,0.551781275890638,0.2448462074221144,0.1564583827374857,0.9218606507272021,0.031862342020957495,0.6773306145571775,0.12170919138117935,0.984241057786447,0.006387786033800534,0.6376809993362393,0.09420724047152683,0.9861921102920006,0.006041809025361243,0.7650626768283777,0.12673524206725328,0.987560247638817,0.004851074435854069,0.5226258645569347,0.177365527670793,0.9768219510518715,0.005098212376469482,51.61290322580645,5.0
cumulopuntia_sphaerica,ok,spatial_cv_oof,135,19344,7,0.2910030612639453,0.6846498483595258,0.36044071427425983,,,0.6846498483595258,0.6,,,,0.9294117647058824,0.4148148148148148,0.46093706204882395,0.44490130021735846,0.859380532361365,0.2286181849282758,4.828429677411526,-12.354887827196718,6.447969608296114,19479,0.008053977899605925,4.160189822821621e-05,0.029826993172134095,0.02566866882283485,0.9440056061023803,,0.9164150813344363,,0.8730849646172225,,0.8627676684128298,,0.8415644242257145,,,0.33762886597938147,,0.1815680880330124,,0.3432624113475177,,0.38636363636363635,,0.512249443207127,0.3990083842293648,0.3965793472133326,0.8730191113356051,0.21081964881167212,0.21730338188118759,0.2052764961427581,0.8713000871209187,0.19568212306061672,0.29660473601141996,0.4093779070061345,0.7917746633697061,0.22381723532458805,0.38593579879698087,0.3932321992721125,0.8163627078567002,0.17842749072666492,0.5104211297911986,0.4675103892667885,0.9047817300410361,0.12437702823605698,53.333333333333336,5.0
encelia_canescens,ok,spatial_cv_oof,271,19323,8,0.33251152273334056,0.8468971741417461,0.6010855406292905,,,0.8468971741417461,0.8582089552238806,,,,0.8484393228811805,0.3025830258302583,0.7162536159718608,0.34214632829275027,0.9980016750861169,0.0023328750766390197,-84.27917357639508,-278.5831461915623,70.04184954577933,19594,0.005305809252591869,1.5254435435802185e-05,0.06415229151781157,0.9849954067571707,0.9744911375522698,,0.9594878901746633,,0.9841687238483936,,0.9624581760489239,,0.9539865403311696,,,0.6552567237163814,,0.5948372615039281,,0.849445324881141,,0.7634252539912917,,0.5708108108108109,0.7657339286102578,0.14412639572237823,0.9953789731070668,0.002158865634587182,0.6942413392912954,0.28888506391718916,0.9967874120908546,0.0025342671688895284,0.636770504010243,0.29769058102714874,0.997971779664658,0.0022180255316354793,0.7470513589987291,0.3111847526478818,0.9819403458131493,0.023676761220417546,0.5676065524226219,0.33453081203244917,0.9936424404711764,0.005613867334978462,33.94833948339483,5.0
eulychnia_acida,ok,spatial_cv_oof,150,19300,7,0.41187067937180744,0.0,0.6748568911125371,,,0.0,0.0,,,,,1.0,0.0,0.0,0.07138810198300284,0.0,-434.8431546651367,-1298.8865918540566,74.08226221079691,19450,,,0.0,0.0,0.0,,0.8192227979274611,,0.0,,0.817098445595855,,0.0,,,0.0,,0.0791765637371338,,0.0,,0.0783289817232376,,0.0,0.0,0.0,,,0.0,0.0,0.07138810198300284,0.0,0.0,0.0,,,0.0,0.0,0.5,0.0,0.0,0.0,,,44.0,5.0
krameria_cistoidea,ok,spatial_cv_oof,223,19338,8,0.07740681210332646,0.013334882364099299,0.5585397358591467,,,0.013334882364099299,0.02531645569620253,,,,-0.7531234192521683,1.0,-0.0029306659571179394,0.010594037327452843,0.7516734616903034,0.21520481598013547,-123.55853254842387,-421.893337952858,73.33980880323092,19561,0.0066152026664414755,0.0007485375552176011,0.016256837584990542,0.005112213077041051,0.8658745739585667,,0.8837004860895648,,0.612886544627159,,0.6201261764401695,,0.851321105265916,,,0.15040650406504066,,0.16549165120593692,,0.0562279374684821,,0.057238193018480495,,0.14388489208633093,-0.009246480817002467,0.009246480817002467,0.8998865182385682,0.07085596037031938,-0.0028895766105594967,0.0026307104443674123,0.9386914064287903,0.030118971710872855,-0.0013800717637317272,0.0013800717637317272,0.7160541108168689,0.21825447322950153,-0.0008280430582390252,0.0008280430582390252,0.36313117724999733,0.2636974178369472,0.010365415116634635,0.011745486880366307,0.6826005359957947,0.17249192881237524,24.2152466367713,5.0
miqueliopuntia_miquelii,ok,spatial_cv_oof,129,19329,7,0.3213328890478862,0.9300256152040494,0.8451799134548993,,,0.9300256152040494,0.9486166007905138,,,,0.6773383339152894,0.5503875968992248,0.8588356256742179,0.1400856256742179,0.994870787365232,0.004598179149075399,-267.4296936045813,-761.1043738564665,89.1715489772844,19458,0.005722457627184274,3.92151504580177e-06,0.030784253263439202,0.4214204954260458,0.9393825640951601,,0.9300256152040494,,0.9814437157325959,,0.9580591640227301,,0.9290426362604931,,,0.225177304964539,,0.9486166007905138,,0.8063492063492064,,0.33116036505867014,,0.8823529411764706,0.8531386007780589,0.13466431073118834,0.9916343590193402,0.007642768172910597,0.8585629271162076,0.14008863706933705,0.965356409728295,0.034098655385863375,0.6893243850020574,0.0919256149979426,0.9839271584603976,0.015539027773879943,0.8177595947463828,0.06775959474638282,0.9797678935994145,0.017298910969141545,0.8557342233009708,0.13698422330097082,0.9897302224952553,0.009460716016071513,9.30232558139535,5.0
neltuma_chilensis,ok,spatial_cv_oof,184,19350,8,0.3263607528184004,0.11837658690034836,0.348948103569459,,,0.11837658690034836,0.19213973799126638,,,,0.43082377802808297,0.8967391304347826,0.08170358909483418,0.05925929986094008,0.9130685943275082,0.06534287257465346,-51.5045935293605,-238.95593129672113,54.054469130746384,19534,0.01799526494365388,0.0012130492421064884,0.025545203235384457,0.0,0.7524379283226603,,0.8146253229974159,,0.7844405123019884,,0.7381451522300866,,0.8038012582855858,,,0.07359482410028306,,0.09304677623261694,,0.1687002652519894,,0.1368888888888889,,0.13141524105754276,0.0,0.0,0.8694307897476136,0.02269375447688031,-0.002297172781917989,0.0019107188734120556,0.9001428453374514,0.08754760380577738,0.04759618312845278,0.03413862617500113,0.8791996902357444,0.08527281093769713,0.09403765864657691,0.06786391373749823,0.8845003996509829,0.07604171115097033,0.44138681685914616,0.32292152198356067,0.8536144512593414,0.14336167636149846,52.17391304347826,5.0
nolana_divaricata,ok,spatial_cv_oof,45,19276,6,0.3528880574906615,0.2665629107006986,0.8437824741684066,,,0.2665629107006986,0.4067796610169492,,,,0.565588751373389,0.9777777777777777,0.37763065837293563,0.12210095730070902,0.9996674921976512,6.412347599366042e-05,-450.47810435461037,-1700.5179030307904,74.4423166502769,19321,0.010161028051100467,0.00013928482500415483,0.006262615806635267,0.005175715542673774,0.9823096078024487,,0.9775702658458416,,0.9995330981531438,,0.9817389499896243,,0.9775183878628577,,,0.2088167053364269,,0.946236559139785,,0.9090909090909091,,0.20361990950226244,,0.9361702127659575,0.24973161567364466,0.24973161567364466,0.9922713877881466,0.007166717900868036,0.42414228627991235,0.07558932939373231,0.992440946949974,0.00720208489951768,0.26149371481356654,0.23823790086007812,0.9997659882554419,9.981958138038927e-05,0.2616279069767442,0.2383720930232558,0.9788040251950351,0.021061782641787374,0.7427594974331839,0.24302788175953927,0.998894730063319,0.0006392281846285819,4.444444444444451,5.0
nolana_sedifolia,ok,spatial_cv_oof,37,19367,7,0.3037515319637564,0.08092617841159178,0.3753621172208557,,,0.08092617841159178,0.13953488372093023,,,,0.08247860988423227,0.918918918918919,0.527318500374226,0.472681499625774,0.9152505613390488,0.08474943866095119,-214.5526174919231,-883.0440111856282,50.28344671201814,19404,0.0031267592886607834,0.00012844223687962577,0.003349824778396207,0.0,0.699437186967522,,0.6725873909227036,,0.6597304693550885,,0.668146847730676,,0.8381043820709233,,,0.012553011026293468,,0.011535463756819953,,0.011104441776710685,,0.011382864174742347,,0.026815642458100558,0.0,0.0,0.6632329401687862,0.2603531007457746,0.5270176580156218,0.4723806572671698,0.7066365584813228,0.29336344151867727,0.5277777777777778,0.4722222222222222,0.7835676498605157,0.21643235013948425,0.5276273565984758,0.47207180104292024,0.6577745458256787,0.3422254541743213,0.5346297557226369,0.4647685595601547,0.9186504898958971,0.0813495101041029,27.027027027027028,5.0
oxalis_gigantea,ok,spatial_cv_oof,68,19310,7,0.339862325806278,0.5586163828555764,0.4656158586476067,,,0.5586163828555764,0.6909090909090909,,,,0.783782624932116,0.4411764705882353,0.5441167733626112,0.09611563656837097,0.9715343564481496,0.0028246179108248337,-146.29023429324448,-603.5662791127429,54.27804727010012,19378,0.002389566894153216,1.2801818283763582e-05,0.010166167819176385,0.13417277324801322,0.8668595972827244,,0.8191717184025347,,0.8652130867883145,,0.9519435221007098,,0.9313857495354434,,,0.06176883481516144,,0.0747091243110839,,0.6781609195402298,,0.17201540436456997,,0.14814814814814814,0.5825783118241497,0.1345771750299094,0.960242129358087,0.0035539899113268825,0.5438523629977249,0.09585122620348463,0.9369860554842958,0.026281243055345405,0.36016325628394585,0.05009315397246428,0.9228424029060893,0.06311333886668047,0.4925248406140199,0.1479719796818486,0.9862411071683898,0.00435876537225488,0.5568050810006808,0.10880394420644057,0.9782369045398094,0.005071166699296248,32.909070635247446,5.0
