slug,status,metrics_source,n_presencias,n_background,n_predictores,threshold_maxTSS,tss_at_maxTSS,threshold_p10,ens_auc_roc,ens_auc_pr,ens_tss,ens_f1,ens_brier_score,ens_calib_slope,ens_calib_intercept,ens_boyce_index,ens_or10,tss_ensemble_mean,tss_ensemble_std,auc_ensemble_mean,auc_ensemble_std,mess_mess_mean,mess_mess_min,mess_mess_pct_extrapolation,mess_n_mess_points,algo_sd_mean,algo_sd_median,binary_agreement_mean,binary_agreement_unanimous_pct,glm_tss,glm_auc_roc,gam_tss,gam_auc_roc,rf_tss,rf_auc_roc,gbm_tss,gbm_auc_roc,maxent_tss,maxent_auc_roc,glm_auc_pr,glm_f1,gam_auc_pr,gam_f1,rf_auc_pr,rf_f1,gbm_auc_pr,gbm_f1,maxent_auc_pr,maxent_f1,tss_glm_mean,tss_glm_std,auc_glm_mean,auc_glm_std,tss_gam_mean,tss_gam_std,auc_gam_mean,auc_gam_std,tss_rf_mean,tss_rf_std,auc_rf_mean,auc_rf_std,tss_gbm_mean,tss_gbm_std,auc_gbm_mean,auc_gbm_std,tss_maxent_mean,tss_maxent_std,auc_maxent_mean,auc_maxent_std,mess_mess_max,binary_agreement_max_possible
atriplex_semibaccata,ok,spatial_cv_oof,1054,9494,8,0.32743020055023864,0.6859982275832655,0.6007676383995487,0.9493383217364086,0.6566915618674533,0.770192819273853,0.5847953216374269,0.05150223453153577,0.9238197357463336,0.021520044137994687,0.8781954887218045,0.635673624288425,0.5870924012523988,0.21158169663230994,0.9199026415853769,0.05403871419214506,-25.906875909047386,-252.758942447166,45.90443686006826,10548,0.10802587853046121,0.0656309300271134,0.7438376943496398,5.081532043989382,0.6161082861081941,0.8756803957677853,0.8344751044202892,0.9581803188191562,0.7493655235764605,0.9423175088311043,0.7178599566929118,0.9262126104612559,0.8453272595215435,0.9651571610792634,0.3379499336819001,0.39655172413793105,0.5966612237805528,0.6530207989435457,0.6367476526251213,0.5188306557808796,0.5886773153403208,0.49163710086163204,0.6837252587347822,0.6695886716115981,0.5415661465870495,0.2182182028983184,0.8656163920160143,0.08064902145274949,0.4827823861876192,0.18823320783140549,0.9463380924728041,0.027781899594933414,0.5828266723484107,0.26063049953292816,0.9274633580752116,0.030305499610006486,0.38735734773782016,0.15825061575901272,0.920918572412236,0.028898143544548647,0.43390256839165103,0.2362359488689816,0.9423298051085924,0.0350810341356283,51.61290322580645,5.0
cumulopuntia_sphaerica,ok,spatial_cv_oof,135,9656,7,0.31075603761403414,0.7364563196170488,0.5811389873540647,0.9529749301911687,0.5309303398977562,0.7881117861855227,0.24733475479744135,0.01941064711781068,0.7309160302984291,-0.16026864513919445,0.9338345864661652,0.37037037037037035,0.8083903781153532,0.22598805172241643,0.981542894498251,0.014174418282423374,4.380486673870261,-8.2888550032468,7.088142171381881,9791,0.06782075741119292,0.020461454076831316,0.3046675518333163,1.3481768971504442,0.7875226303353893,0.9483614102918162,0.7689419742858019,0.9484005339224892,0.7870654208475252,0.8976640891098224,0.7258054865138543,0.8788958697720088,0.7646414434318327,0.9343563012059284,0.46164718304864605,0.14112458654906285,0.39276393571272866,0.2689075630252101,0.45299039374360056,0.3404255319148936,0.5355325842878217,0.18861512319456245,0.485607756617503,0.27680798004987534,0.8460499100915431,0.06789237139802552,0.9728951768301733,0.018971898877492958,0.6897516496618076,0.20571197731736354,0.968936430673736,0.018310163315222436,0.8299922816206775,0.17839930661003206,0.9632709580968573,0.04745886265342874,0.721897770195578,0.21146153955624905,0.9612909382458451,0.04541049372230144,0.7250901466196732,0.3424563310288157,0.9648239947158673,0.028255494853376847,62.22222222222222,5.0
encelia_canescens,ok,spatial_cv_oof,271,9437,8,0.30882243626575706,0.9036660674967458,0.7304361822344113,0.9913469670884058,0.8838653576091205,0.9504333848043367,0.6956521739130435,0.00912102321975431,1.0286143711721643,-0.12471812578252639,0.9684210526315788,0.2915129151291513,0.8202458636833988,0.16165493496892278,0.9766006624500125,0.03308257381951481,-15.397840066286282,-137.11052010828848,39.74042027194067,9708,0.03534165871835344,0.0023456674861700782,0.21096003296250515,1.8850432632880099,0.9382848464491851,0.9875415798769622,0.9380541458270364,0.9906669867800725,0.9649507102255508,0.9929114301209772,0.8732096751930749,0.9842292663681114,0.8343952730615576,0.9703584892159189,0.6862323507269645,0.6533665835411472,0.821408809174746,0.6261904761904762,0.9002138897738433,0.8488745980707395,0.8491073056184754,0.41552142279708976,0.7157008989232315,0.34657534246575344,0.8576008526151503,0.10077456131850511,0.9678897829149337,0.03419129942883431,0.7579462424505332,0.20577680192463704,0.9749597562469487,0.03894296527971315,0.9059542158297376,0.07360571548127698,0.9780890069166108,0.030580751100385176,0.703706739722071,0.2528643420032699,0.9746762040219187,0.029442859524313282,0.46595960454346946,0.3812790787131511,0.9583031916028124,0.04387572152353346,33.94833948339483,5.0
eulychnia_acida,ok,spatial_cv_oof,150,9539,7,0.5349271642025688,0.7486249432155712,0.8128927778635465,0.9695897543418247,0.6810018691217032,0.8129762029562846,0.7235294117647059,0.07377903873783394,0.669823983968096,-0.18328650594591117,0.8072298311056222,0.22666666666666666,0.4716134593977964,0.3747331709626193,0.8495382789211036,0.21075974932696198,-107.14742201184023,-694.9895430555216,47.97192692744349,9689,0.1828581193303605,0.10453371185035333,0.8017339250696667,1.599752296418619,0.7125715483803332,0.8988740958171717,0.8124576300800224,0.8803193905720376,0.7758353426285076,0.9521329978684,0.7260397665723171,0.904978159835063,0.95695635461439,0.9885155676695669,0.09607782910710948,0.10323033707865169,0.05764893262339733,0.16421291053227632,0.7330738350405293,0.1773142112125163,0.5112941589886235,0.13539074166251866,0.38563458136813195,0.4613003095975232,0.47354959792715495,0.3990521946774738,0.640024533834825,0.3338452501245033,0.5238904310885351,0.4315673705685791,0.7021561807393477,0.33921211689377545,0.5207411120962775,0.4302817203945679,0.893042088441004,0.19395285043912516,0.5848517527214069,0.3089045164341442,0.8757817200256209,0.18832816974981323,0.42197308324567223,0.4258093160235932,0.8198565424548272,0.23205284070775153,44.0,5.0
krameria_cistoidea,ok,spatial_cv_oof,223,9431,8,0.31386656903575383,0.9261613617527922,0.8061189139764422,0.987338768768012,0.9184510429585717,0.9362212111284558,0.7992424242424242,0.005722888052111393,1.234146589669429,-0.18729776778027646,0.9040878332986595,0.21973094170403587,0.4669487232537837,0.3992578912429512,0.9109032520503652,0.05029869037636858,-20.811229459803762,-201.93927261649486,46.0638077480837,9654,0.034794307745263396,0.005442581053687981,0.19349492438367516,1.999171327946965,0.9292981404232679,0.9874348168643339,0.9613553812847906,0.9976639391226243,0.8561399221059447,0.957024895951858,0.9012568511535042,0.9531867759839817,0.9633257937162671,0.9974701787302916,0.8281832096164496,0.7636363636363637,0.9234006343630554,0.734006734006734,0.8544631049014666,0.7658730158730159,0.8720298497921646,0.68561872909699,0.9160003405825726,0.6646525679758308,0.37259376206432154,0.3679688819634119,0.8540589526850315,0.09916837400588271,0.4672630690400039,0.39440985037930626,0.9527609518969875,0.04025256853842497,0.3468200640924353,0.43452783287397473,0.9018236863837037,0.08017596535226372,0.3721685042026278,0.4071949748973244,0.7944044527657522,0.21111937281478413,0.45381592604538346,0.3816053004732005,0.9288763734082227,0.05562600200207403,24.2152466367713,5.0
miqueliopuntia_miquelii,ok,spatial_cv_oof,129,9462,7,0.3155357453994679,0.983122207311498,0.8907253720786996,0.9909970358791347,0.9642675846903778,0.9836506368190019,0.9621212121212122,0.0033988647921218192,1.3413300293293964,-0.12682535868059186,0.7745981641386614,0.21705426356589147,0.5949335541810861,0.4860658666069305,0.8617444819375395,0.1725656441471821,-79.85600720382122,-419.70977319628446,78.0314878531957,9591,0.037294549690337804,0.002632840024901062,0.1579605880512981,1.282452299030341,0.9750900787974419,0.990140078879369,0.9821710341979915,0.9942962384011771,0.9607487477449577,0.9895342283044868,0.9606430618434572,0.9765803319356577,0.9836506368190019,0.9940471801526792,0.7678155262650312,0.736231884057971,0.9396394876035035,0.9136690647482014,0.9358815022828127,0.7530120481927711,0.934215373220378,0.7507507507507507,0.9397862385137763,0.9621212121212122,0.5087969414726646,0.4684577314231242,0.8789731437945789,0.12871399645752618,0.5932197024891386,0.4852994413155541,0.9083721091197976,0.11960387376684638,0.3782685464442248,0.46528167894282363,0.7947619786835005,0.2509242027396158,0.3738968618540409,0.45869363787781936,0.8723486019611917,0.18190031972373782,0.5933783055640798,0.48459123270819787,0.9115450859372999,0.10825054309247183,9.30232558139535,5.0
neltuma_chilensis,ok,spatial_cv_oof,184,9529,8,0.04320828019435141,0.6029466114880435,0.0544874131197141,0.8738838420017612,0.37401358986594924,0.693817385829071,0.38626609442060084,0.025236979614779113,0.5315634400045849,-0.09231161192962214,0.9383458646616539,0.22282608695652173,0.08859638958082369,0.16619003576688288,0.7402621018675223,0.15225158860359256,3.4765622370285847,-50.817367472618855,22.711829506846495,9713,0.1753026309103238,0.1301106410876821,1.9319468753217337,5.683105116853701,0.3561878613112375,0.6607113525302623,0.4587996824339431,0.7011382872421487,0.2591790734919033,0.6470077612049259,0.18127329844365248,0.5956707670406586,0.693817385829071,0.8738838420017612,0.028471793588090762,0.0666194188518781,0.03085098784497942,0.08585247883917775,0.03847198758977911,0.05821596244131456,0.029235742265557637,0.04995871180842279,0.37401358986594924,0.38626609442060084,0.07275931769551133,0.08719402681458491,0.5464991411973388,0.11377889273827232,0.25292003560696846,0.3407107749038888,0.6989000676296302,0.1707296362915647,0.1374927382060976,0.2902852333216524,0.6164457590124679,0.21027805819103268,0.10626279192014029,0.18001061915648053,0.5599269839358356,0.22799483259816522,0.08859638958082369,0.16619003576688288,0.7402621018675223,0.15225158860359256,52.17391304347826,5.0
nolana_divaricata,ok,spatial_cv_oof,45,9550,6,0.5606823962897163,0.8541128563118092,0.9300018973248928,0.9852751599767307,0.6368935050262594,0.9335660267597441,0.28859060402684567,0.07665119712645156,0.3450971962059816,-0.09960478271199466,0.6924909290403846,0.4666666666666667,0.8983161309577964,0.08643516695941748,0.974755257174451,0.04326418490938929,-65.03511830981121,-521.6598841614071,54.12193850964043,9595,0.14047721233727983,0.020933396315654912,0.667118290776446,1.0630536737884315,0.7864688772542174,0.9235788248981966,0.7523327515997673,0.8870692262943572,0.9484584060500292,0.9929563699825481,0.8966026759744037,0.9840116346713206,0.8224665503199535,0.9293403141361256,0.04911998168501729,0.04592901878914405,0.04312388163235711,0.039250669045495096,0.7835817883656554,0.23848238482384823,0.5777779135028696,0.13210445468509985,0.03835393728617986,0.06328182487122884,0.825103509317692,0.1439735503426536,0.9244903881522992,0.06864744039882933,0.8048038970381594,0.11726376298208877,0.9274621826973318,0.06159877930948521,0.918223590612463,0.08838394486767881,0.9794982868330886,0.0384148531396992,0.8951803997439702,0.07416814025541242,0.9796744982868331,0.03848619737551795,0.877901117951405,0.07477067602064018,0.9571379398899289,0.04620781125076588,97.77777777777777,5.0
nolana_sedifolia,ok,spatial_cv_oof,37,9472,7,0.3281621925904402,0.7163217905405406,0.7350801915841112,0.9509222059897736,0.5939265302082805,0.8468116554054055,0.09018567639257294,0.01892569812348571,1.0062824823768863,-0.25005526062596484,0.6680167887325585,0.3783783783783784,0.41850425461634655,0.40285142332686374,0.7643868670716631,0.3780898437211777,0.9306407873214408,-276.44205167935195,11.084235986959722,9509,0.11328538584584583,0.06413162896489072,0.46282469239667684,0.28394152907771586,0.7508445945945947,0.8697583774653032,0.7755489864864864,0.9069005661066473,0.7062922297297298,0.8750599205624543,0.7341638513513513,0.8868928049671293,0.791279560810811,0.922939303323594,0.0706036476540091,0.0557006092254134,0.45204512707492667,0.09422492401215805,0.5088378660338424,0.10313075506445672,0.48576540830983134,0.10820895522388059,0.485432277549349,0.12180746561886051,0.40697741814072386,0.5129094655749805,0.6348938697828708,0.3939071628815708,0.368911508832064,0.32180870985912097,0.6796135781542215,0.3734194377271089,0.48175523089002914,0.41690608810233043,0.7684001437864877,0.2772437054451795,0.49941221931960167,0.43599526520395016,0.7741020263087235,0.33265367147083125,0.41123563298803667,0.3900467906681781,0.7178524105309757,0.35559081220104166,27.027027027027028,5.0
oxalis_gigantea,ok,spatial_cv_oof,68,9532,7,0.31320427886988117,0.789291797289625,0.7609087146974138,0.9714953963121127,0.7553521556641356,0.8771815062575596,0.1725067385444744,0.004448441158285409,1.0002601030719067,-0.16302699015414512,0.6918318830242316,0.4264705882352941,0.46497711447828644,0.40285367603543815,0.8193224621422031,0.21539490043661594,0.7539078170215692,-173.46645735414123,18.302083333333332,9600,0.032797566695871916,0.00501297419475962,0.09458333333333334,0.47916666666666663,0.8819703290464318,0.9618868949174298,0.8414381279158747,0.9633648885487892,0.7644837204709831,0.9171259040754364,0.8333230480610205,0.9386563217397744,0.9218730715114414,0.9730952704203797,0.6574726717612726,0.2995169082125604,0.7033837476672613,0.23166023166023167,0.6980525061656204,0.13768115942028986,0.6437123847108168,0.3706070287539936,0.7533263914223518,0.4050632911392405,0.5633825542497778,0.3905742645234664,0.8084102195549491,0.19314685550380734,0.37297306422204574,0.31182727752924105,0.8073203710556894,0.21682765764856238,0.4207795833850353,0.36179947427324205,0.7283683824336178,0.2818136227123484,0.3848786185816141,0.3225331412910821,0.6289769533708732,0.3978507128405035,0.3328629167183687,0.3004716692861449,0.8514605622457605,0.15689533841665115,32.909070635247446,5.0
